Elav (m);Qtot (m3/s);Qturb  (m3/s);Qvan  (m3/s);Niv Amont (m);Q1 (m3/s);P1 (MW);Q2 (m3/s);P2 (MW);Q3 (m3/s);P3 (MW);Q4 (m3/s);P4 (MW);Q5 (m3/s);P5 (MW)
103,77;578,01;578,01;0;137,9;158;45,76;141;44,18;0;0;140;44,84;140;44,4
103,76;580,3;580,3;0;137,89;160;46,16;141;44,16;0;0;140;44,81;140;44,37
103,76;578,55;578,55;0;137,89;158;45,75;141;44,17;0;0;140;44,82;140;44,38
103,77;580,23;580,23;0;137,89;160;46,17;141;44,16;0;0;140;44,81;140;44,37
103,75;574,05;574,05;0;137,89;154;44,85;141;44,2;0;0;140;44,85;140;44,41
103,76;576,18;576,18;0;137,89;156;45,3;141;44,19;0;0;140;44,84;140;44,4
103,75;579,88;579,88;0;137,88;159;45,94;141;44,15;0;0;140;44,8;140;44,36
103,75;573,77;573,77;0;137,88;153;44,6;141;44,19;0;0;140;44,85;140;44,41
103,74;567,09;567,09;0;137,88;147;43,14;141;44,23;0;0;140;44,89;140;44,45
103,72;567,58;567,58;0;137,88;147;43,14;141;44,23;0;0;140;44,89;140;44,45
103,76;569,64;569,64;0;137,88;149;43,64;141;44,22;0;0;140;44,87;140;44,43
103,76;568,9;568,9;0;137,88;148;43,39;141;44,22;0;0;140;44,88;140;44,44
103,75;571,02;571,02;0;137,88;151;44,13;141;44,21;0;0;140;44,86;140;44,42
103,74;568,59;568,59;0;137,88;148;43,39;141;44,23;0;0;140;44,88;140;44,44
103,76;570,66;570,66;0;137,88;150;43,88;141;44,21;0;0;140;44,87;140;44,43
103,76;570,66;570,66;0;137,88;150;43,88;141;44,21;0;0;140;44,87;140;44,43
103,75;565,88;565,88;0;137,88;146;42,9;141;44,25;0;0;139;44,63;140;44,46
103,75;570,4;570,4;0;137,88;150;43,89;141;44,21;0;0;140;44,87;140;44,43
103,72;564,14;564,14;0;137,88;0;0;141;44,25;142;42,51;141;45,13;141;44,66
103,75;567,42;567,42;0;137,88;147;43,15;141;44,23;0;0;140;44,89;140;44,45
103,76;567,43;567,43;0;137,88;147;43,15;141;44,23;0;0;140;44,89;140;44,45
103,71;564,36;564,36;0;137,87;0;0;141;44,24;142;42,5;141;45,12;141;44,65
103,63;555,77;555,77;0;137,88;0;0;140;44,02;137;41,45;139;44,7;140;44,53
103,66;559,52;559,52;0;137,88;0;0;141;44,28;139;41,97;140;44,95;140;44,51
103,66;563,69;563,69;0;137,88;0;0;141;44,26;141;42,34;141;45,14;141;44,67
103,64;561,48;561,48;0;137,88;0;0;141;44,27;140;42,17;141;45,15;140;44,49
103,67;559,51;559,51;0;137,89;0;0;141;44,3;139;41,99;140;44,96;140;44,52
103,66;557,18;557,18;0;137,88;0;0;141;44,3;138;41,73;139;44,69;140;44,52
103,64;556,96;556,96;0;137,89;0;0;140;44,03;138;41,75;139;44,71;140;44,54
103,63;558,49;558,49;0;137,89;0;0;141;44,31;138;41,74;140;44,97;140;44,53
103,63;554,32;554,32;0;137,89;0;0;140;44,04;137;41,47;139;44,72;139;44,24
103,68;563,36;563,36;0;137,89;0;0;141;44,28;141;42,36;141;45,15;141;44,69
103,68;563,7;563,7;0;137,89;0;0;141;44,28;141;42,36;141;45,15;141;44,69
103,68;564,31;564,31;0;137,89;0;0;141;44,27;142;42,53;141;45,15;141;44,69
103,69;563,83;563,83;0;137,89;0;0;141;44,28;141;42,36;141;45,15;141;44,69
103,7;562,06;562,06;0;137,9;0;0;141;44,3;140;42,19;141;45,18;141;44,72
103,68;563,61;563,61;0;137,88;0;0;141;44,26;141;42,35;141;45,14;141;44,68
103,72;564,13;564,13;0;137,9;0;0;141;44,28;142;42,55;141;45,16;141;44,7
103,68;563,27;563,27;0;137,89;0;0;141;44,28;141;42,36;141;45,16;141;44,69
103,68;564,33;564,33;0;137,89;0;0;141;44,27;142;42,53;141;45,15;141;44,69
103,68;557,97;557,97;0;137,9;0;0;141;44,33;138;41,76;139;44,72;140;44,55
103,92;653,36;653,36;0;137,88;137;40,42;123;37,07;135;40,2;121;37,12;138;43,28
104,19;665,37;665,37;0;137,89;137;40,39;118;35,1;136;40,52;137;43,32;138;43,24
104,2;666,37;666,37;0;137,87;137;40,37;119;35,46;136;40,49;137;43,29;138;43,21
104,23;667,15;667,15;0;137,88;137;40,37;120;35,85;136;40,5;137;43,29;138;43,22
104,2;665,84;665,84;0;137,88;137;40,38;118;35,09;136;40,51;137;43,3;138;43,23
104,19;666,32;666,32;0;137,88;137;40,38;119;35,47;136;40,5;137;43,3;138;43,22
104,13;590,94;590,94;0;137,89;152;44,27;159;48,27;0;0;140;44,76;140;44,32
103,72;567,27;567,27;0;137,89;147;43,17;141;44,26;0;0;140;44,92;140;44,48
103,72;564,47;564,47;0;137,89;0;0;141;44,28;142;42,54;141;45,15;141;44,69
103,69;563,89;563,89;0;137,89;0;0;141;44,28;141;42,37;141;45,16;141;44,7
103,68;563,54;563,54;0;137,89;0;0;141;44,28;141;42,37;141;45,16;141;44,7
103,71;563,87;563,87;0;137,89;0;0;141;44,28;141;42,37;141;45,16;141;44,7
